,group,numbers
0,(),547630
1,"('FiO2',)",65033
2,"('Glucose',)",10177
3,"('Hct',)",8884
4,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",8583
5,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",6426
6,"('BaseExcess', 'FiO2', 'pH', 'PaCO2')",5257
7,"('BaseExcess', 'pH', 'PaCO2')",4607
8,"('HCO3', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",3411
9,"('PTT',)",3144
10,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",2411
11,"('BaseExcess', 'pH', 'PaCO2', 'SaO2')",2402
12,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium')",2288
13,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose')",2201
14,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2')",1958
15,"('FiO2', 'Glucose')",1956
16,"('BaseExcess', 'pH', 'PaCO2', 'Lactate')",1853
17,"('BaseExcess', 'pH')",1755
18,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium')",1670
19,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Lactate')",1641
20,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose')",1639
21,"('BaseExcess', 'pH', 'PaCO2', 'Glucose')",1546
22,"('Hct', 'Hgb', 'WBC', 'Platelets')",1456
23,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",1345
24,"('pH',)",1331
25,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose')",1273
26,"('SaO2',)",1209
27,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium')",1154
28,"('BaseExcess', 'pH', 'Lactate')",1085
29,"('Potassium',)",1061
30,"('FiO2', 'Hct')",1026
31,"('BaseExcess', 'pH', 'SaO2')",965
32,"('BaseExcess', 'FiO2', 'pH')",929
33,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",842
34,"('HCO3', 'FiO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",820
35,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",792
36,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Potassium')",781
37,"('Hct', 'PTT')",732
38,"('HCO3', 'FiO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",673
39,"('pH', 'Glucose', 'Potassium')",671
40,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",647
41,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",632
42,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Lactate')",609
43,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Potassium')",603
44,"('BaseExcess', 'FiO2', 'pH', 'SaO2')",602
45,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate')",601
46,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",587
47,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Lactate')",580
48,"('Lactate',)",574
49,"('Magnesium', 'Potassium')",547
50,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Lactate')",531
51,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Hct', 'Hgb')",525
52,"('HCO3', 'BUN', 'Chloride', 'Magnesium', 'Potassium')",517
53,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",507
54,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",502
55,"('pH', 'Glucose')",500
56,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",494
57,"('Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",490
58,"('Potassium', 'Hct')",480
