,group,numbers
0,(),571792
1,"('Glucose',)",110422
2,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",8939
3,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",5225
4,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Lactate', 'Potassium')",4502
5,"('TroponinI',)",4439
6,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",3333
7,"('Hct', 'Hgb', 'WBC', 'Platelets')",2892
8,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",2880
9,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium')",1854
10,"('FiO2', 'pH', 'PaCO2', 'Calcium', 'Chloride', 'Glucose', 'Lactate', 'Potassium')",1830
11,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium')",1819
12,"('FiO2', 'pH', 'PaCO2', 'SaO2')",1661
13,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",1422
14,"('Hct', 'Hgb')",1354
15,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium')",1202
16,"('Magnesium', 'Potassium')",1143
17,"('Potassium',)",1119
18,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",1111
19,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Lactate', 'Potassium')",1083
20,"('FiO2',)",1015
21,"('Glucose', 'TroponinI')",983
22,"('Glucose', 'Hct', 'Hgb', 'WBC', 'Platelets')",909
23,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb')",892
24,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",848
25,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",814
26,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",714
27,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Chloride', 'Glucose', 'Lactate', 'Potassium')",629
28,"('Hgb',)",580
29,"('Magnesium',)",579
30,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",554
31,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",546
32,"('FiO2', 'Glucose')",536
33,"('Glucose', 'Magnesium', 'Potassium')",516
34,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",512
35,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose')",494
36,"('PTT',)",465
37,"('pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Lactate', 'Potassium')",458
38,"('Glucose', 'Potassium')",409
39,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",406
40,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Lactate', 'Potassium', 'Hct')",405
41,"('Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",356
42,"('TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",340
43,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",331
44,"('Glucose', 'Hct', 'Hgb')",322
45,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total')",309
46,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",303
47,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total')",291
48,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'TroponinI')",258
49,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'TroponinI')",244
50,"('pH', 'PaCO2', 'SaO2')",243
51,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'TroponinI')",235
52,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",228
53,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",221
